user_ID, used_time, page_num
2, 1296, 10
14, 109, 18
12, 1207, 34
12, 432, 29
14, 765, 16
5, 163, 28
15, 871, 10
13, 759, 36
10, 410, 49
13, 543, 46
14, 484, 21
2, 414, 9
4, 890, 6
8, 1397, 1
2, 1, 35
14, 888, 39
8, 865, 41
3, 568, 13
10, 989, 9
3, 956, 38
11, 200, 36
8, 953, 32
5, 760, 30
7, 1187, 29
2, 788, 34
15, 1025, 45
13, 699, 20
11, 29, 42
6, 198, 2
4, 6, 48
7, 258, 49
8, 858, 21
10, 1011, 18
4, 1392, 9
5, 932, 31
15, 98, 22
4, 861, 47
5, 339, 23
1, 1353, 36
14, 1172, 21
4, 1053, 24
7, 307, 33
1, 218, 4
13, 759, 12
3, 753, 40
5, 196, 1
15, 563, 20
1, 1056, 2
8, 1170, 40
3, 496, 22
5, 1218, 12
10, 1339, 11
5, 1421, 10
11, 121, 18
10, 96, 28
3, 313, 44
15, 904, 7
7, 1256, 21
7, 298, 26
11, 1274, 34
6, 658, 47
1, 945, 47
2, 147, 22
4, 255, 23
8, 330, 3
2, 1208, 24
12, 679, 35
11, 459, 40
10, 1348, 4
8, 58, 1
7, 707, 45
3, 1095, 17
9, 1087, 22
7, 74, 16
3, 1158, 33
1, 788, 21
11, 929, 4
14, 1013, 32
10, 691, 26
14, 173, 36
5, 1168, 50
4, 622, 21
15, 49, 4
6, 1047, 42
4, 384, 2
10, 30, 1
1, 1407, 7
3, 633, 10
15, 1219, 20
10, 185, 32
14, 1365, 4
13, 397, 6
14, 601, 37
15, 1081, 7
15, 27, 48
14, 1345, 27
11, 1263, 9
15, 587, 41
11, 23, 13
4, 16, 41
11, 1215, 46
11, 975, 7
6, 46, 20
13, 14, 8
1, 1186, 28
5, 1148, 40
12, 433, 10
4, 1014, 38
13, 945, 41
14, 839, 11
9, 1215, 12
6, 145, 22
9, 1382, 48
11, 1138, 48
1, 1272, 34
6, 420, 14
10, 955, 4
9, 1237, 47
4, 699, 31
8, 166, 29
8, 857, 35
4, 896, 31
8, 242, 25
14, 1273, 12
14, 620, 18
1, 327, 19
9, 791, 11
9, 626, 17
6, 906, 8
8, 1035, 19
2, 1316, 48
1, 1369, 28
4, 615, 47
2, 1072, 47
9, 192, 3
11, 1145, 29
1, 470, 10
12, 384, 6
5, 455, 32
8, 1030, 44
1, 1019, 47
15, 328, 30
12, 192, 17
14, 1333, 3
8, 1033, 3
7, 254, 32
12, 1397, 18
8, 1064, 40
4, 102, 49
14, 716, 48
13, 428, 3
5, 223, 13
10, 1061, 49
6, 1421, 17
1, 750, 31
11, 166, 40
3, 1310, 8
12, 1005, 8
4, 809, 2
11, 1326, 34
13, 1376, 11
11, 169, 32
5, 19, 2
4, 167, 42
10, 607, 48
15, 484, 35
10, 651, 36
6, 530, 28
1, 1052, 28
1, 24, 28
10, 1030, 19
15, 1054, 41
6, 333, 23
11, 1004, 10
day3
12, 822, 2
4, 1397, 11
15, 668, 3
11, 436, 17
12, 130, 42
11, 75, 32
9, 303, 26
9, 316, 11
9, 1247, 28
12, 842, 30
14, 1091, 34
2, 1360, 11
7, 689, 22
6, 174, 31
6, 230, 36
10, 1222, 16
11, 322, 2
1, 249, 1
13, 1392, 13
5, 975, 38
7, 1200, 32
3, 902, 25
11, 406, 26
12, 291, 33
13, 339, 16
13, 604, 34
4, 146, 12
4, 357, 45
8, 481, 36
11, 1207, 17
10, 1014, 26
1, 930, 43
7, 724, 33
11, 120, 35
4, 461, 8
15, 1200, 2
6, 1381, 14
7, 1025, 23
6, 757, 11
14, 1179, 32
9, 303, 19
8, 935, 42
13, 808, 21
6, 668, 17
5, 109, 35
4, 255, 33
1, 1350, 47
14, 1102, 1
8, 762, 36
5, 1391, 28
1, 742, 1
1, 221, 26
3, 758, 3
10, 159, 12
4, 416, 45
15, 1138, 33
10, 860, 28
6, 922, 20
4, 339, 9
11, 367, 42
10, 708, 12
11, 1128, 50
13, 1115, 5
7, 1291, 45
3, 586, 11
8, 870, 15
10, 1373, 39
12, 622, 30
13, 667, 41
4, 664, 44
6, 1099, 39
2, 1364, 31
10, 406, 16
6, 1138, 30
2, 757, 11
14, 1124, 29
1, 574, 41
10, 315, 11
2, 1127, 50
12, 1203, 37
6, 455, 35
8, 550, 12
2, 513, 41
day4
13, 888, 50
12, 107, 42
14, 315, 18
6, 319, 28
12, 870, 31
14, 57, 1
10, 676, 26
2, 579, 43
14, 719, 20
11, 901, 5
13, 1426, 12
13, 1140, 39
9, 1353, 47
2, 992, 3
2, 413, 6
3, 1274, 29
8, 1215, 8
5, 297, 11
10, 1412, 7
14, 329, 29
4, 731, 12
6, 262, 18
9, 732, 16
14, 851, 28
14, 866, 21
10, 519, 37
14, 1273, 5
6, 487, 49
14, 1142, 37
3, 296, 49
9, 409, 46
8, 436, 17
8, 1067, 40
7, 289, 32
6, 117, 45
14, 1202, 28
2, 1072, 21
14, 323, 13
3, 691, 15
12, 935, 1
11, 1310, 46
1, 984, 29
5, 770, 28
8, 349, 37
10, 1146, 2
11, 340, 41
12, 1108, 47
3, 1301, 45
12, 661, 1
3, 107, 12
15, 1406, 38
9, 1309, 25
15, 1110, 13
13, 1329, 36
15, 213, 38
11, 1030, 13
7, 561, 42
13, 319, 45
10, 214, 12
13, 1270, 45
11, 1165, 18
15, 757, 4
12, 1288, 25
11, 98, 7
4, 668, 7
3, 17, 49
1, 399, 17
13, 427, 28
15, 268, 13
day5
12, 1316, 11
12, 443, 36
15, 348, 43
11, 1070, 26
15, 1026, 5
11, 779, 4
3, 1258, 11
11, 942, 49
11, 283, 16
6, 68, 35
9, 135, 23
9, 173, 1
12, 1166, 45
2, 1229, 20
12, 714, 26
4, 823, 1
4, 1081, 10
3, 497, 49
2, 838, 14
2, 167, 23
7, 1404, 46
10, 766, 17
10, 1134, 39
15, 181, 30
6, 1092, 32
15, 881, 13
15, 831, 11
6, 538, 30
4, 546, 44
1, 245, 8
10, 304, 48
4, 1414, 33
11, 583, 47
2, 381, 5
4, 10, 25
15, 60, 22
8, 68, 6
10, 874, 32
1, 76, 23
7, 142, 46
5, 514, 5
12, 896, 49
15, 1346, 7
5, 527, 42
12, 576, 15
13, 884, 23
4, 1056, 6
5, 422, 47
3, 884, 5
14, 643, 9
15, 645, 8
6, 416, 50
3, 126, 35
5, 433, 12
11, 615, 46
13, 1013, 8
14, 19, 31
3, 1204, 3
2, 195, 37
1, 1308, 50
15, 1203, 48
13, 1146, 46
13, 1061, 3
5, 474, 27
4, 905, 38
9, 402, 18
7, 87, 41
12, 867, 45
1, 868, 19
13, 1236, 36
11, 161, 26
8, 272, 47
9, 1038, 27
4, 764, 25
5, 16, 2
11, 392, 44
6, 935, 2
11, 669, 37
2, 588, 1
9, 553, 11
10, 1376, 26
12, 893, 43
12, 1032, 10
9, 1033, 5
15, 1150, 1
14, 1181, 10
4, 681, 36
6, 365, 16
4, 1326, 2
14, 8, 47
8, 637, 42
12, 396, 38
9, 268, 42
1, 703, 11
8, 1011, 16
5, 751, 28
4, 784, 17
6, 805, 36
3, 1165, 47
3, 253, 19
9, 643, 5
11, 889, 27
13, 346, 38
13, 858, 21
12, 411, 30
14, 899, 43
1, 1250, 35
2, 1050, 33
11, 1434, 1
12, 892, 41
12, 721, 34
2, 1269, 13
2, 973, 3
3, 181, 34
15, 1098, 27
3, 281, 38
8, 207, 40
14, 910, 23
11, 491, 29
7, 699, 5
8, 364, 18
15, 1358, 34
11, 371, 40
2, 87, 6
2, 99, 12
3, 1139, 44
7, 387, 3
15, 120, 22
12, 578, 28
9, 1115, 21
1, 989, 15
1, 974, 26
2, 133, 23
11, 1359, 4
1, 283, 37
8, 1316, 17
12, 1081, 25
3, 1131, 18
6, 299, 24
15, 207, 19
10, 82, 50
11, 1045, 45
13, 1330, 18
8, 171, 39
5, 1307, 46
10, 286, 42
7, 462, 37
1, 1169, 46
13, 514, 45
6, 99, 29
8, 217, 11
12, 223, 13
6, 496, 27
6, 517, 4
7, 1155, 36
8, 1378, 48
11, 193, 2
11, 126, 44
12, 177, 33
9, 607, 18
10, 567, 16
7, 229, 43
14, 554, 46
4, 804, 30
9, 784, 41
6, 768, 43
11, 653, 42
12, 1353, 37
13, 1307, 21
2, 786, 26
1, 1171, 29
3, 515, 34
2, 768, 19
15, 490, 34
7, 86, 44
6, 121, 27
12, 540, 9
7, 872, 23
3, 1093, 18
3, 1352, 12
10, 344, 35
13, 52, 22
1, 469, 3
8, 755, 29
9, 1090, 23
8, 147, 50
11, 700, 11
1, 1205, 42
14, 824, 2
12, 926, 50
14, 786, 21
day6
3, 1393, 7
1, 1280, 34
14, 1219, 22
11, 736, 40
11, 83, 23
9, 1273, 5
2, 958, 13
13, 289, 33
1, 228, 8
3, 564, 11
8, 142, 31
1, 1116, 16
6, 500, 32
15, 48, 31
11, 811, 29
12, 303, 43
13, 945, 47
1, 859, 29
15, 1034, 17
5, 682, 20
10, 180, 48
10, 51, 10
12, 256, 36
10, 982, 5
8, 696, 18
3, 747, 16
7, 259, 13
4, 1329, 49
14, 1083, 29
7, 960, 47
10, 197, 37
7, 1055, 42
15, 975, 6
8, 520, 4
6, 549, 45
13, 332, 48
15, 181, 27
8, 657, 27
12, 908, 7
8, 390, 35
6, 682, 27
12, 484, 20
9, 701, 3
13, 890, 31
8, 146, 23
9, 141, 13
9, 354, 37
7, 1201, 11
7, 35, 24
10, 233, 10
1, 429, 21
13, 1129, 23
14, 290, 13
2, 1089, 19
15, 1435, 24
2, 1090, 29
7, 856, 48
1, 248, 2
11, 1007, 26
9, 56, 49
14, 1052, 42
1, 15, 4
3, 323, 5
12, 174, 20
2, 977, 45
15, 95, 11
4, 713, 36
3, 378, 31
11, 1347, 18
5, 901, 25
7, 324, 48
6, 1415, 29
5, 974, 7
12, 79, 36
4, 1360, 15
14, 1079, 17
9, 88, 8
7, 295, 18
10, 814, 20
10, 355, 50
5, 903, 38
13, 182, 49
9, 889, 14
1, 271, 8
6, 1046, 32
8, 257, 25
5, 216, 6
13, 901, 30
5, 1115, 49
2, 1260, 39
13, 833, 25
1, 996, 34
4, 999, 42
12, 662, 18
3, 1254, 35
9, 639, 30
1, 1116, 36
10, 702, 1
1, 420, 25
11, 1044, 37
7, 368, 34
15, 627, 27
5, 517, 39
5, 1164, 44
14, 1007, 48
13, 1029, 12
12, 247, 41
5, 1233, 15
2, 1156, 48
12, 870, 49
7, 291, 43
5, 87, 30
12, 938, 30
9, 435, 21
9, 1326, 21
13, 1072, 41
12, 497, 10
11, 574, 49
5, 963, 10
8, 986, 24
11, 907, 16
6, 21, 50
15, 409, 17
9, 59, 14
11, 472, 13
4, 490, 29
9, 156, 3
15, 571, 48
1, 548, 18
2, 993, 10
7, 675, 49
5, 860, 32
9, 1199, 37
2, 184, 30
5, 82, 23
8, 676, 40
15, 145, 32
8, 1094, 48
15, 129, 39
14, 679, 31
15, 52, 41
4, 222, 45
1, 536, 5
10, 600, 19
13, 765, 46
1, 695, 44
9, 215, 38
2, 1347, 16
10, 1344, 35
14, 766, 46
4, 35, 17
11, 41, 32
1, 1, 36
15, 177, 36
1, 1433, 23
9, 1354, 41
13, 1094, 1
9, 168, 34
8, 277, 24
15, 1245, 35
3, 1074, 44
11, 142, 45
9, 729, 47
10, 1062, 14
11, 484, 14
10, 1109, 22
13, 484, 26
15, 125, 32
11, 1136, 43
5, 1412, 12
day7
9, 573, 2
13, 426, 3
12, 1380, 38
10, 1440, 39
7, 685, 31
11, 968, 28
11, 1121, 50
7, 1378, 43
11, 356, 24
11, 1059, 38
6, 331, 5
9, 268, 40
11, 213, 27
7, 1266, 1
4, 46, 18
9, 365, 21
10, 1004, 7
4, 832, 14
4, 140, 18
11, 577, 27
15, 973, 26
10, 1097, 22
14, 33, 22
15, 1006, 20
3, 362, 20
13, 134, 3
9, 1004, 43
9, 792, 41
9, 769, 18
15, 1038, 22
4, 355, 2
10, 1232, 22
8, 300, 9
9, 612, 32
12, 1416, 8
9, 329, 27
4, 702, 41
15, 951, 30
13, 130, 16
3, 661, 10
6, 537, 4
10, 1436, 41
5, 1022, 7
7, 959, 27
2, 268, 45
6, 762, 47
15, 568, 46
15, 373, 14
5, 1005, 25
9, 186, 48
9, 1319, 47
13, 1129, 13
6, 1218, 44
11, 1382, 42
5, 243, 14
13, 1013, 17
15, 953, 4
14, 700, 15
3, 797, 34
11, 1251, 38
10, 1048, 39
14, 975, 48
10, 658, 44
8, 1075, 47
6, 1000, 37
7, 275, 4
2, 166, 36
11, 141, 11
15, 309, 43
10, 1053, 15
3, 498, 43
11, 1130, 18
13, 905, 33
5, 668, 30
2, 845, 12
6, 465, 25
1, 730, 40
7, 155, 28
3, 1304, 10
7, 992, 14
11, 59, 40
13, 760, 32
12, 1129, 27
15, 1097, 1
4, 776, 50
11, 70, 23
12, 743, 13
6, 459, 15
14, 856, 7
9, 1413, 26
9, 816, 27
14, 131, 3
4, 1338, 29
7, 649, 17
8, 527, 39
10, 1132, 38
6, 1027, 19
4, 918, 29
15, 1322, 16
6, 224, 1
15, 1425, 46
2, 302, 15
2, 559, 13
3, 1115, 27
7, 1080, 9
7, 1392, 43
2, 1054, 17
13, 561, 3
14, 541, 14
1, 39, 1
11, 655, 44
8, 1111, 21
2, 92, 21
11, 1098, 46
4, 259, 48
13, 269, 31
8, 74, 38
7, 1225, 8
15, 220, 18
12, 836, 3
10, 1413, 28
10, 1424, 14
9, 58, 27
6, 336, 8
4, 179, 17
5, 497, 9
12, 559, 18
3, 600, 39
4, 1428, 31
5, 1001, 30
1, 233, 50
7, 1284, 26
10, 233, 50
8, 1005, 47
9, 1093, 28
13, 1361, 8
15, 906, 46
2, 967, 24
4, 1116, 40
5, 479, 17
14, 393, 7
4, 294, 36
12, 1429, 7
14, 1113, 50
7, 474, 21
1, 186, 6
5, 1257, 21
5, 930, 15
12, 1099, 10
7, 946, 21
13, 420, 39
11, 863, 3
10, 482, 50
8, 684, 7
6, 1301, 22
15, 345, 48
10, 469, 47
13, 894, 24
7, 668, 33
7, 54, 24
15, 1408, 23
14, 1225, 2
11, 31, 38
10, 147, 16
5, 1320, 1
15, 133, 45
5, 793, 6
9, 60, 20
5, 807, 34
1, 1297, 44
5, 567, 30
2, 643, 1
10, 861, 5
15, 320, 24
day8
7, 718, 15
11, 597, 15
9, 1138, 29
13, 990, 31
1, 1262, 41
3, 530, 5
3, 17, 20
1, 1176, 13
6, 536, 10
1, 324, 2
5, 1361, 28
14, 1183, 28
11, 1386, 20
12, 410, 18
14, 1321, 17
2, 145, 5
6, 1003, 21
7, 917, 11
5, 540, 42
10, 689, 11
12, 1017, 6
3, 654, 45
13, 1026, 13
11, 489, 43
13, 872, 43
7, 35, 36
2, 960, 48
1, 179, 29
7, 1132, 38
10, 957, 4
14, 562, 31
10, 48, 9
15, 791, 18
14, 359, 43
6, 1034, 8
3, 57, 23
15, 275, 16
3, 773, 47
6, 944, 12
2, 656, 23
13, 419, 28
6, 898, 1
14, 1186, 41
4, 1115, 47
1, 880, 15
12, 1286, 22
8, 1407, 49
11, 1250, 45
1, 405, 2
7, 359, 2
11, 489, 45
10, 62, 41
10, 1342, 42
7, 248, 12
2, 946, 26
10, 1208, 17
8, 538, 31
8, 665, 13
5, 439, 23
4, 1337, 32
3, 220, 24
2, 370, 3
8, 335, 9
2, 755, 3
10, 612, 16
7, 9, 26
7, 1267, 43
1, 420, 15
3, 827, 46
11, 492, 14
2, 139, 45
15, 667, 48
6, 790, 37
8, 745, 35
9, 1163, 37
5, 1137, 32
13, 510, 1
13, 90, 11
14, 730, 22
6, 885, 21
7, 1215, 43
3, 942, 37
10, 878, 6
9, 1208, 1
9, 920, 40
10, 1390, 35
1, 210, 23
5, 628, 27
3, 258, 35
4, 1207, 46
5, 691, 15
13, 345, 35
14, 799, 40
4, 863, 23
14, 1067, 33
2, 213, 22
5, 115, 33
2, 1291, 12
11, 1428, 7
11, 863, 28
7, 1162, 7
6, 30, 26
8, 1425, 50
10, 64, 50
4, 1296, 8
14, 538, 29
10, 602, 50
6, 251, 12
9, 715, 28
6, 369, 49
8, 1363, 2
12, 1213, 22
12, 381, 19
10, 535, 26
9, 369, 24
13, 954, 22
1, 100, 39
2, 1319, 15
4, 820, 23
6, 728, 13
9, 1253, 19
2, 1254, 36
12, 752, 24
4, 680, 16
9, 676, 25
6, 1009, 46
9, 753, 12
12, 946, 19
12, 613, 16
10, 617, 39
9, 89, 50
1, 820, 46
9, 569, 47
10, 1250, 29
2, 208, 44
1, 1007, 7
13, 1404, 31
11, 1232, 15
12, 1297, 35
15, 899, 11
10, 1266, 44
2, 568, 6
9, 970, 48
4, 224, 26
5, 651, 20
2, 794, 8
1, 407, 25
10, 1127, 13
10, 1161, 10
4, 1082, 37
8, 1061, 25
12, 1436, 22
10, 676, 3
13, 633, 47
5, 1298, 28
3, 256, 39
9, 661, 49
3, 502, 13
11, 606, 6
3, 476, 34
14, 971, 33
10, 750, 31
11, 726, 24
14, 681, 43
10, 1181, 6
12, 745, 31
4, 1318, 41
12, 896, 36
10, 1182, 43
8, 239, 15
1, 1406, 21
8, 823, 33
15, 1121, 19
4, 699, 35
5, 1304, 14
15, 1091, 28
9, 1291, 31
10, 722, 49
9, 1201, 22
3, 1092, 25
8, 279, 1
14, 782, 49
15, 684, 9
9, 898, 30
3, 1162, 31
day9
8, 992, 19
14, 470, 17
4, 199, 4
10, 1424, 39
11, 871, 23
15, 839, 9
3, 186, 25
8, 692, 6
13, 1111, 48
5, 1352, 17
8, 717, 30
10, 743, 12
14, 377, 1
8, 774, 19
5, 875, 43
2, 1362, 15
2, 1158, 40
13, 1151, 7
2, 544, 14
15, 1403, 28
5, 216, 32
10, 9, 44
12, 576, 29
6, 155, 28
14, 1424, 39
11, 361, 9
8, 465, 8
6, 1201, 16
14, 524, 30
3, 486, 25
1, 255, 14
5, 781, 5
9, 111, 39
day10
11, 891, 37
5, 138, 45
9, 833, 50
7, 591, 12
7, 1193, 49
7, 230, 39
6, 807, 26
15, 770, 13
4, 410, 36
8, 798, 41
2, 233, 13
7, 214, 25
4, 221, 29
4, 97, 13
5, 246, 2
5, 158, 38
9, 345, 4
13, 225, 24
13, 520, 40
15, 1416, 30
5, 1136, 48
13, 421, 17
10, 420, 5
10, 125, 49
day11
1, 205, 13
14, 363, 49
3, 309, 2
5, 224, 24
12, 507, 37
4, 1038, 13
2, 1245, 35
4, 596, 19
10, 1114, 37
5, 53, 46
11, 761, 19
15, 350, 17
13, 974, 18
8, 892, 22
3, 1266, 47
2, 679, 3
12, 1015, 42
13, 1089, 30
12, 698, 18
2, 795, 23
14, 598, 33
15, 1086, 32
14, 777, 49
2, 594, 10
12, 1337, 38
10, 620, 20
8, 798, 24
1, 1339, 47
4, 1300, 22
2, 587, 7
10, 1289, 24
11, 44, 32
3, 965, 37
1, 325, 17
1, 844, 20
14, 3, 14
5, 960, 18
13, 9, 40
15, 1176, 6
4, 133, 25
1, 1238, 2
10, 1395, 15
12, 246, 34
7, 1203, 35
2, 76, 48
15, 56, 22
4, 996, 8
13, 1030, 35
6, 1074, 35
15, 1106, 2
2, 1049, 10
14, 506, 16
3, 78, 21
11, 871, 46
15, 1058, 16
1, 586, 39
7, 1143, 10
12, 684, 34
4, 623, 31
10, 1396, 33
11, 1057, 7
12, 905, 16
12, 461, 41
9, 899, 33
3, 1280, 14
3, 604, 38
10, 630, 37
9, 963, 34
2, 128, 11
12, 703, 48
9, 42, 22
8, 763, 1
4, 583, 39
14, 1101, 9
3, 206, 19
3, 625, 16
6, 1062, 26
3, 542, 8
6, 1414, 49
15, 466, 23
5, 92, 8
14, 536, 44
7, 285, 5
4, 669, 43
5, 187, 42
9, 787, 1
1, 1319, 42
1, 1380, 11
15, 816, 37
8, 602, 37
7, 707, 15
6, 708, 17
9, 748, 30
11, 556, 48
9, 409, 39
13, 980, 31
8, 1194, 7
5, 498, 33
15, 210, 17
8, 1170, 17
3, 1040, 1
1, 427, 43
1, 1162, 19
14, 1233, 3
1, 371, 23
4, 64, 29
14, 17, 6
14, 937, 48
15, 524, 44
10, 517, 36
5, 109, 45
1, 841, 12
12, 779, 47
14, 833, 16
12, 949, 34
4, 1100, 13
10, 523, 34
7, 1015, 50
1, 1391, 12
11, 397, 4
4, 610, 30
3, 833, 4
5, 731, 15
4, 990, 49
4, 660, 19
12, 1367, 22
10, 130, 15
11, 893, 22
7, 1418, 12
8, 134, 29
15, 299, 36
14, 836, 36
5, 1416, 12
5, 1099, 49
15, 1231, 43
11, 65, 38
15, 771, 48
4, 446, 49
2, 286, 1
5, 1118, 24
3, 428, 36
4, 388, 9
15, 1420, 17
10, 1420, 10
3, 305, 44
7, 794, 43
14, 66, 13
4, 1323, 7
14, 1240, 27
3, 195, 49
2, 1340, 34
9, 1368, 11
5, 112, 35
7, 566, 27
1, 1363, 23
9, 1072, 27
4, 426, 33
14, 777, 6
14, 432, 28
13, 1305, 42
4, 604, 10
7, 1211, 16
2, 932, 29
1, 44, 40
12, 720, 41
14, 789, 28
4, 8, 28
7, 1398, 45
8, 1295, 23
day12
4, 1361, 36
6, 1034, 32
12, 1422, 46
6, 1320, 46
13, 613, 5
3, 687, 10
9, 762, 46
5, 354, 19
11, 127, 50
9, 653, 39
4, 306, 32
12, 219, 42
3, 224, 28
8, 894, 9
9, 928, 15
15, 1266, 30
1, 673, 37
9, 48, 41
6, 1419, 26
1, 963, 3
1, 1024, 11
2, 1416, 43
4, 493, 16
4, 296, 23
14, 755, 44
1, 390, 15
5, 514, 41
12, 258, 1
2, 900, 18
6, 927, 19
2, 791, 42
12, 857, 9
10, 1015, 26
10, 233, 29
5, 351, 39
13, 1402, 5
14, 822, 24
4, 858, 19
3, 1292, 9
12, 1086, 35
4, 1274, 35
11, 1192, 11
3, 1366, 37
3, 167, 34
10, 215, 5
9, 1144, 40
10, 238, 26
11, 60, 44
7, 844, 46
8, 365, 15
8, 598, 43
2, 383, 14
11, 1228, 38
6, 39, 3
13, 333, 32
10, 1060, 21
15, 1410, 37
3, 472, 1
8, 1304, 27
3, 326, 46
13, 40, 9
1, 55, 10
4, 896, 28
9, 719, 20
12, 277, 1
10, 310, 25
1, 1036, 9
13, 844, 2
12, 785, 13
3, 85, 17
8, 1389, 21
12, 1347, 41
5, 1363, 37
1, 1332, 21
4, 880, 49
12, 958, 10
1, 1073, 6
7, 473, 10
1, 219, 40
2, 464, 30
2, 324, 1
1, 363, 12
4, 83, 50
7, 1246, 48
7, 937, 43
13, 256, 27
10, 133, 23
9, 521, 7
5, 76, 25
12, 702, 42
4, 554, 4
1, 305, 33
8, 222, 38
6, 471, 41
1, 847, 26
4, 580, 1
13, 129, 25
8, 313, 38
13, 1125, 23
15, 1387, 17
1, 871, 49
7, 425, 3
14, 987, 29
7, 966, 2
9, 819, 38
9, 1016, 25
2, 650, 29
4, 936, 8
day13
2, 1198, 27
6, 283, 48
9, 497, 26
5, 942, 21
3, 1017, 41
7, 423, 16
9, 450, 27
5, 267, 32
15, 241, 34
15, 332, 39
6, 718, 26
13, 1238, 4
13, 850, 33
8, 623, 15
7, 1090, 19
7, 499, 14
12, 518, 15
12, 278, 32
4, 628, 6
1, 403, 17
6, 353, 14
15, 349, 23
11, 1290, 24
10, 67, 15
8, 1325, 35
11, 854, 43
8, 230, 34
9, 454, 31
8, 565, 49
11, 1398, 19
2, 1223, 6
3, 549, 31
6, 148, 50
2, 427, 22
9, 147, 38
1, 1402, 22
12, 525, 46
15, 835, 38
12, 525, 41
7, 1151, 46
3, 22, 15
4, 1070, 5
6, 146, 5
4, 1193, 22
5, 549, 13
7, 928, 20
7, 688, 27
10, 905, 33
3, 136, 50
4, 692, 2
13, 513, 33
14, 131, 15
1, 1423, 37
1, 435, 15
15, 622, 21
8, 944, 27
5, 99, 27
6, 939, 24
14, 731, 20
9, 994, 34
1, 922, 8
3, 989, 10
15, 838, 16
1, 1102, 47
12, 718, 25
8, 273, 34
12, 182, 43
7, 831, 18
10, 1248, 29
7, 1332, 33
9, 510, 13
4, 885, 27
7, 581, 22
15, 800, 10
13, 1243, 46
15, 578, 27
1, 439, 15
9, 953, 31
12, 551, 14
9, 1343, 6
15, 1364, 19
13, 504, 15
15, 112, 2
9, 1135, 33
3, 1365, 8
13, 1319, 10
14, 1281, 14
5, 1091, 38
9, 629, 11
7, 1014, 42
15, 939, 4
5, 530, 22
5, 181, 20
1, 161, 25
13, 634, 49
12, 492, 12
7, 1168, 46
7, 314, 24
4, 1134, 25
9, 825, 9
8, 266, 23
14, 971, 9
1, 35, 5
11, 474, 14
